Years active 2018,Name,Language
1998–present,A. R. Reihana,Tamil
1955–present,Aarti Mukherji,"Bengali, Hindi"
2006–present,Akriti Kakar,"Hindi, Bengali, Marathi"
1988–present,Alisha Chinai,"Hindi, Telugu, Bengali, Assamese, Kannada"
2011–present,Alka Ajith,"Malayalam, Tamil"
1980–present,Alka Yagnik,"Bengali, Hindi, Punjabi, Malayalam, Tamil, Odia, Gujarati, Nepali, Assamese, Marathi, Telugu, Urdu, Bhojpuri, English"
1945–1961,Amirbai Karnataki,"Hindi, Urdu, Kannada"
2007–present,Amrutha Suresh,Malayalam
2008–present,Abhirami Suresh,Malayalam
2007–present,Andrea Jeremiah,"Tamil, Telugu, English"
2000–present,Anindita Paul,"Hindi, Assamese, Bengali"
2007–present,Anitha Shaiq,"Tamil, Malayalam, Odia, Kannada, Hindi, Arabic"
1994-present,Anjali Marathe,"Marathi, Hindi"
1992–present,Annupamaa,"Telugu, Tamil, Malayalam, Kannada, Hindi, French, English"
1984–2002,Anupama Deshpande,"Hindi, Telugu, English, Tamil, Odia"
2006–present,Anuradha Bhat,"Kannada, Hindi, Tamil, Telugu, Tulu"
1973–present,Anuradha Paudwal,"Hindi, Bengali, Marathi, Odia, Tamil, Nepali, Kannada"
1993–present,Anuradha Sriram,"Hindi, Telugu, Tamil, Kannada, Malayalam"
2010–present,Antara Mitra,"Bengali, Kannada, Hindi"
2006–present,Anushka Manchanda,"Hindi, Telugu, Tamil"
2006–present,Anweshaa,"Bengali, Hindi, Tamil, Telugu, Kannada, Malayalam, Marathi"
2016–present,Aparna Balamurali,Malayalam
1975-present,Arati Ankalikar-Tikekar,"Konkani, Marathi, Hindi"
1980–present,Arundhati Holme Chowdhury,"Bengali, Hindi"
1943–present,Asha Bhosle,"Bengali, Telugu, Hindi, Urdu, Marathi, Assamese, Gujarati, Punjabi, Tamil, English, Russian, Czech, Nepali, Malay, Malayalam, Konkani, Kannada, Odia and other languages"
2015–present,Asees Kaur,"Hindi, Bengali"
1977–present,B. R. Chaya,"Kannada, Tamil"
1964-2017,Banashree Sengupta,"Bengali, Hindi, Assamese, Bhojpuri, Odia"
1962-2000,Bangalore Latha,"Kannada, Telugu, Malayalam, Tamil, Tulu"
1950–1980,Bhagwanti Navani,"Sindhi, Hindi"
1939–2005,P. Bhanumathi,"Telugu, Tamil, Hindi"
2005 – present,Bhaswati Chakraborty,"Hindustani Classical Vocalist, Bengali, Dadra, Chaiti, Kajri, Thumri"
1995–present,Bhavatharini,"Tamil, Telugu, Hindi, Kannada"
1992–2021,Bhitali Das,Assamese
1999–present,Bela Shende,"Marathi, Hindi, Tamil and Urdu"
1982–present,Bombay Jayashri,"Tamil, Telugu, Hindi, Kannada"
2005–present,Chaitra Ambadipudi,"Telugu, Tamil, Hindi, Kannada, Malayalam"
2002–present,Chaitra H. G.,"Kannada, Telugu, Tamil, Malayalam, Bengali, Konkani, English"
2002–present,Charulatha Mani,"Tamil, Kannada"
1978-1990,Chhaya Ganguly,Hindi
2002–present,Chinmayi,"Tamil, Telugu, Hindi, Malayalam, Kannada"
1965–present,Chitra Singh,"Hindustani, Bengali, Urdu"
1998–present,Dhrasti Patel,"Gujarati, Hindi"
2000–present,Dominique Cerejo,"Hindi, Tamil"
2015–present,Dhvani Bhanushali,"Hindi, Tamil"
1988–present,Falguni Pathak,"Hindustani, Gujarati, Hindi, Assamese, Bengali"
1998–present,Gayatri Asokan,Malayalam
1996–present,Gayatri Iyer (Gayatri Ganjawala),"Hindi, Telugu"
1946–1971,Geeta Dutt,"Hindi, Bengali"
2006–present,Geetha Madhuri,"Telugu, Tamil"
,Gurlez Akhtar,Punjabi
2001–present,Harshdeep Kaur,"Hindi, Punjabi, Bengali, English"
1995–present,Hard Kaur,Hindi
1995–present,Harini,"Malayalam, Telugu, Tamil, Hindi"
1989–present,Hema Sardesai,Hindi
1968–present,Hemlata,"Bengali, Bhojpuri, Punjabi, Haryanvi, Rajasthani, Marwari, Brij Bhasha, Gujarati, Marathi, Sindhi, Odia, Assamese, Tamil, Telugu, Malayalam, Kannada, Konkani, Dogri, Multani, Saraiki, Garhwali, Bundeli, Nepali, Arabi, Persian, Urdu, Sanskrit, Prakrit, English, French, Mauritius, African, Italian, Zulu, Dutch, Hindi"
2005–present,Himani Kapoor,"Hindi, Punjabi"
1993–present,Ila Arun,"Rajasthani, Hindi, Tamil, Telugu"
2016-present,Iman Chakraborty,Bengali
2010–present,Indu Nagaraj,"Kannada, Telugu"
1953–1981,Jagjit Kaur,"Hindi, Urdu"
2002–present,Jayati Chakraborty,Bengali
,Jasmeen Akhtar,Punjabi
2010–present,Jasmine Sandlas,"Hindi, Punjabi"
1994–present,Jaspinder Narula,"Hindi, Punjabi"
1966–present,Jency Anthony,"Tamil, Telugu, Malayalam, Kannada"
1964–2000,Jikki,"Telugu, Tamil, Malayalam, Kannada"
2014–present,Jonita Gandhi,"Hindi, Bengali, Tamil, Telugu"
2017–present,Jyotica Tangri,"Hindi, Punjabi"
1998–present,Jyotsna Radhakrishnan,Malayalam
2008–present,June Banerjee,"Bengali, Hindi"
1970–2004,Kumari Kanchan Dinkerao Mail,Hindi
2003–present,Kalpana Raghavendar,"Telugu, Kannada"
1993–present,Kalpana Patowary,"Bhojpuri, Assamese, Hindi, Bengali, Marathi"
2012–present,Kanika Kapoor,"Hindi, Bengali, Punjabi"
1931–1956,Kanan Devi,"Bengali, Hindi"
1971–present,Kavita Krishnamurthy,"Hindi, Punjabi, Telugu, Tamil, Malayalam, Kannada, Odia, Nepali, Gujarati, Bengali, English, Assamese, Bhojpuri"
2004–present,Kavita Seth,"Hindi, Urdu"
1934-1980,K. B. Sundarambal,Tamil
1946–present,K. Jamuna Rani,"Tamil, Telugu, Malayalam, Kannada,Sinhalese"
1979–present,K. S. Chithra (referred to as Chitra),"Malayalam, Telugu, Tamil, Kannada, Odia, Hindi, Bengali, English, Russian, German, Arabic, Tulu, Sinhalese, Assamese, Punjabi, Nepali"
1941–2022,Lata Mangeshkar,"Hindi, Bengali, Urdu, Marathi, Assamese, Odia, Kannada, Malayalam, Telugu, Tamil, Gujarati, Punjabi, Konkani, Urdu, Sanskrit, Rajasthani, Bhojpuri, English, Nepali"
1954–present,L. R. Eswari,"Telugu, Tamil, Malayalam, Kannada, Hindi"
2001–present,Madhushree,"Hindi, Tamil, Telugu, Kannada, Bengali"
1997–present,Mahalakshmi Iyer,"Hindi, Bengali, Telugu, Tamil, Kannada, English, Assamese, French, Marathi and other languages"
2003–present,Mahathi,"Telugu, Tamil, Malayalam, Kannada"
2015–present,Maitrayee Patar,"Assamese, Hindi"
2001–present,Malavika,Telugu
1988–present,Malgudi Subha,"Telugu, Tamil, Kannada, Malayalam, Hindi"
2003–present,Malvina,Tamil
2010–present,Mamta Sharma,"Hindi, Tamil, Telugu, Bengali, Kannada, Haryanvi"
2004–present,Manjari,"Malayalam, Tamil"
2007–present,Megha,"Tamil, Telugu, Kannada, Malayalam"
1988–present,Minmini,"Malayalam, Tamil, Hindi, Kannada"
2006–present,Monali Thakur,"Bengali, Hindi, Tamil"
2007–present,Mridula Warrier,"Malayalam, Tamil, Kannada"
1955–1968,Mubarak Begum,"Hindi, Urdu"
1998–present,Nanditha,"Kannada, Odia, Tamil, Hindi"
2003–present,Neeti Mohan,"Hindi, Bengali, Maratahi, Telugu, English, Tamil, Kannada"
2006–present,Neha Kakkar,"Hindi, Bengali, Marathi, Telugu, Kannada"
1995–present,Neha Rajpal (Nehha Rajpal) née 'Chandna' .,"Hindi, Marathi, Gujrati, Sindhi, Chattisgadi, Telugu, Kannada, Bengali"
2004–present,Nihira Joshi,"Hindi, Marathi"
2013–present,Nikhita Gandhi,"Bengali, Hindi, Tamil, Telugu, Arabic, Kannada, English"
2010-2015,Nilanjana Sarkar,Bengali
,Nimrat Khaira,Punjabi
