Years active 2011,Name,Languages
2017–present,32Stitches,English
2002–present,Alphons Joseph,"Malayalam, Tamil, Telugu, Kannada, Hindi"
2009–present,Ash King,"Bengali, Gujarati, Hindi, Telugu"
2012–present,Aaman Trikha,"Hindi, English, Punjabi, Kannada, Tamil, Malayalam, Telugu, Bhojpuri, Rajasthani, Gujarati, Marathi, Bengali, Odia[citation needed]"
1995–present,Aditya Narayan,"Nepali, Hindi, Bengali"
1965–present,Amit Kumar,"Bengali, Hindi, Odia"
2001–present,Amit Trivedi,Hindi
2013–present,Anirudh Ravichander,"Tamil, Hindi, Telugu"
2009–present,Anuj Gurwara,"Telugu, Hindi"
2007–present,Anupam Roy,"Bengali, Hindi"
2015–present,Anurag Kulkarni,Telugu
1979–present,Anwar,"Hindi, Urdu"
1982–present,Abhijeet Bhattacharya,"Bengali, Hindi, Marathi, Gujarati, Odia, Bhojpuri, Nepali & others[citation needed]"
2005–present,Abhijeet Sawant,Hindi
1992–present,A. R. Rahman,"Tamil, Hindi, English, Telugu, Malayalam, Kannada, Urdu, Punjabi"
2011–present,Arijit Singh,"Bengali, Hindi, Telugu, Tamil, Assamesse, Kannada, Marathi, Gujarati,[1] Urdu,[2] Punjabi[3]"
2015–present,Ami Mishra,Hindi
2011–present,Amit Mishra (singer),"Hindi, Telugu, Marathi, Urdu"
2010–present,Ankit Tiwari,"Hindi, Bengali, Telugu, Odia"
2007–present,Armaan Malik,"Hindi, English, Bengali, Telugu, Tamil, Kannada, Marathi, Malayalam, Gujarati, Punjabi, Urdu"
2014–Present,Amaal Mallik,"Hindi, Tamil, Telugu"
2012–present,Ayushmann Khurrana,"Hindi, Punjabi"
1994–present,Babul Supriyo,"Bengali, Hindi"
1998–present,Babbu Maan,"Punjabi, Hindi"
2006–present,Badshah,"Hindi, Punjabi, English, Bengali"
1973 – 2022,Bappi Lahiri,"Bengali, Hindi, Odia"
2002 – present,Benny Dayal,"Bengali, Hindi, Malayalam, Telugu, Tamil, Kannada, Gujarati, Marathi"
1941–2011,Bhimsen Joshi,"Hindi, Kannada, Marathi Bhajans"
1942–2011,Bhupen Hazarika,"Assamese, Bengali, Hindi, Odia, English"
1964–2022,Bhupinder Singh,"Hindi, Urdu, Punjabi, Bengali, Odia, Nepali"
2002–present,Blaaze,"English, Tamil, Hindi, Telugu, Kannada, Malayalam"
1993–present,Biju Narayanan,"Malayalam, Tamil, Kannada, Telugu"
2001–present,Bohemia,"Punjabi, Hindi"
2012–present,Chandan Shetty,"Telugu, Kannada"
2001–present,Chetan Sosca,"Kannada, Telugu, Tamil"
1999–present,Clinton Cerejo,"Hindi, Tamil, Telugu"
2007–present,Damodar Raao,"Hindi, Bhojpuri"
2014–present,Darshan Raval,"Hindi, Telugu, Gujrati, Bengali"
1999–present,Devan Ekambaram,"Tamil, Telugu, Kannada"
1999–present,Devi Sri Prasad,"Telugu, Tamil, Hindi"
1995–present,Daler Mehndi,"Hindi, Punjabi, Telugu, Tamil"
1940-1992,Dhananjay Bhattacharya,"Bengali, Hindi"
2011–present,Dhanush,Tamil
2014–present,Diwakar,Tamil
2004–present,Diljit Dosanjh,"Punjabi, Hindi"
1944–2018,Dwijen Mukhopadhyay,"Bengali, Hindi"
,Emiway Bantai (Bilal Shaikh),Punjabi
1935–1977,G. M. Durrani,"Hindi, Punjabi, Urdu and Pashto"
1986–present,G. Venugopal,"Malayalam, Tamil"
2008–present,Gajendra Verma,"English, Hindi"
1942–1974. singer of Telugu cinema,Ghantasala,"Telugu, Tamil, Kannada, Malayalam, Hindi"
1983–present,Gurdas Maan,"Punjabi, Hindi"
2015–present,Gurshabad,Punjabi
,Gursimran Singh Sidhu,Punjabi
2013–present,Guru Randhawa,"Punjabi, Hindi(soon)"
2014–present,Happy Raikoti,Punjabi
2005–present,Haricharan,"Tamil, Malayalam, Telugu"
1977–present,Hariharan,"Hindi, Maithili, Bengali, Tamil, Kannada, Telugu, Malayalam, Marathi[citation needed]"
1937–1989,Hemanta Mukherjee,"Bengali, Hindi, Urdu, Odia"
2003–present,Himesh Reshammiya,"Gujarati, Tamil, Hindi, Urdu, Punjabi, Sindhi (soon), Arabic (soon), English (soon), French (soon)"
2014–present,Hriday Gattani,"Hindi, Telugu, Marathi, English"
1965–2011,Jagjit Singh,"Hindi, Urdu, Punjabi, Nepali"
2003–present,Jassie Gift,"Malayalam, Tamil, Kannada, Telugu"
2000–present,Javed Ali,"Hindi, Bengali, Telugu, Marathi, Odia, Kannada, Malayalam, Tamil, Urdu[citation needed]"
1964–present,P. Jayachandran,"Malayalam, Tamil, Kannada, Telugu, Hindi"
1962-1977,Jayanta Hazarika,"Assamese, Bengali"
2013–present,Jeet Gannguli,"Bengali, Hindi"
2002–present,Joi Barua,"Assamese, Hindi, Tamil, Telugu"
2014–present,Jubin Nautiyal,"Bengali, Hindi, Telugu, English"
1996-2022,KK,"Hindi, Telugu, Tamil, Kannada, Malayalam, Bengali, English[citation needed]"
2003–present,Kailash Kher,"Hindi, Bengali, Urdu, Punjabi, Kannada, Tamil, Telugu, Rajasthani[citation needed]"
1983–present,Kamal Haasan,"Tamil, Hindi, Malayalam, Telugu, English"
1999–present,Karthik,"Tamil, Telugu, Malayalam, Kannada, Hindi, Bengali"
2008–present,Khesari Lal Yadav,"Bhojpuri, Hindi"
1946–1987,Kishore Kumar,"Bengali, Hindi, Urdu, Odia, Assamese and other languages[citation needed]"
1951–1973,Kozhikode Abdul Kader,Malayalam
2004–present,Krishna Beura,"Hindi, Odia[4]"
2009–present,Krishna Iyer,"Tamil, Telugu, Kannada, Malayalam"
1960–present,K. J. Yesudas,"Tamil, Malayalam, Hindi, Telugu, Kannada, Bengali, Marathi, Punjabi, Gujarati, Tulu, English, French, German, Russian, Arabic, Malay, Sanskrit, Latin"
1932–1947,K. L. Saigal,"Hindi, Urdu, Bengali"
2002–present,Kunal Ganjawala,"Hindi, Bengali, Kannada, Marathi, Telugu, Tamil"
1975–present,Lucky Ali,"Hindi, Telugu, Kannada, Tamil, Urdu"
1988–present,Kumar Sanu,"Bengali, Hindi, Marathi, Angika, Assamese, Punjabi, Odia, Telugu, Malayalam, Kannada, Tamil, Urdu, Pali, Bhojpuri, Gujarati, English.[citation needed]"
1984–present,M. G. Sreekumar,"Malayalam, Tamil, Hindi, Telugu"
1990–present,M. M. Keeravani,"Hindi, Telugu"
1999–present,Madhu Balakrishnan,"Malayalam, Tamil, Kannada, Telugu"
1956–2008,Mahendra Kapoor,"Hindi, Punjabi, Odia, Urdu, Marathi, Nepali Bengali"
1960–2011,Malaysia Vasudevan,"Tamil, Telugu"
1953–1992,Manabendra Mukhopadhyay,Bengali
2001–present,Manikka Vinayagam,"Tamil, Telugu"
1942–2013,Manna Dey,"Bengali, Hindi, Malayalam, Odia, Urdu, Marathi, Kannada, Nepali"
1987–present,Mano,"Telugu, Tamil, Malayalam, Bengali, Hindi, Kannada"
1990–present,Master Saleem,"Hindi, Bengali, Punjabi, Telugu, Kannada, Urdu"
2005–present,Meet Bros,"Hindi, Punjabi"
1998–present,Mika Singh,"Punjabi, Hindi, Bengali, Telugu"
1944–1980,Mohammed Rafi,"Hindi, Bengali, Urdu, Punjabi, Gujrati, Marathi, Odia, Telugu, Sindhi, Assamese, Kannada, Tamil[citation needed]"
1985–2018,Mohammed Aziz,"Hindi, Urdu, Bengali, Punjabi, Telugu, Kannada, Odia[citation needed]"
2010–present,Mohammed Irfan,"Hindi, Tamil, Odia, Telugu, Bengali, and Marathi"
2009–present,Mohan Rathore,"Hindi, Bhojpuri"
1940–1976,Mukesh,"Hindi, Urdu, Gujarati, Punjabi, Bengali, Odia, Assamese[citation needed]"
2005–present,Sreerama Chandra Mynampati,"Telugu, Hindi, Bengali, Tamil, Marathi, Kannada"
2002–present,Mohit Chauhan,"Hindi, Bengali, English, Pahari, Nepali, Tamil, Punjabi, Telugu, Marathi, Kannada, Gujarati[citation needed]"
"1973–2005, 2009",Nadeem Saifi,Hindi
2005–present,Naresh Iyer,"Hindi, Tamil, Telugu, Malayalam, Kannada"
2007–present,Najim Arshad,"Malayalam, Tamil, Telugu, Hindi"
2010–present,Nakash Aziz,"Hindi, Bengali, Telugu, Kannada, Gujarati, Tamil"
2001–present,Nitin Dubey,"Hindi, Chhattisgarhi"
1970–2004,Nitin Mukesh,"Hindi, Urdu, Bengali"
1995–present,Navin Prabhakar,Hindi
1994–present,Neeraj Shridhar,"Hindi, Bengali"
2006–present,Noel Sean,Telugu
2005–present,NTR Jr.,"Telugu, Kannada"
1950–2013,P. B. Sreenivas,"Telugu, Kannada, Tamil, Malayalam, Hindi, English-language"
1927-1978,Pankaj Mullick,"Hindi, Urdu, Bengali"
