Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0006137,2017-02-22,2017-03-16,"Isaignani Illayaraja sir is our Father of Tamil Modern Music system.  He is the pioneer of Symphony Orchestra with Traditional Indian instrumentation. This BGM scoring genius has recorded around 6000 songs (including BGM) for 1000 movies in 40 years. The Industry believes that nobody has the dare to break this record forever. There is also record in mid 80's, for continuous three years, he has produced music for more than 50 movies per year. An approximate calculation: A single movie have at least 6 songs multiplies with 50 movies gives 300 songs (least) per year + BGM of 50 movies which defines his pure legacy. There is always a resemblance of his music notes with most of our Tamil music directors which are either they get inspired by his music or he has achieved everything. He is also holding a  name that ""Uncredited person of every Family card"" in Tamil Nadu. If there is a statistics on every Child Birth for an hour in India and there is also a statistics of his song play for every minute in Tamil Nadu.",Ilaiyaraaja,Kerala Varma Pazhassi Raja,1943-06-02
2,nm0006246,2017-02-22,2017-03-16,"Isai Puyal A.R. Rahman is the most popular and the influential music director in India. He is one of our Identity cards for Tamil Nadu sometimes for the whole India too. 'New' 'Fresh' 'Different' 'Distinct' 'Typical' 'Unique' are the very common words for his every single piece of music. Though it may sound simple but to give a meaning of it in real is highly unimaginable. Of course, this genius is still doing it for the last 25 years. He was the one who has given a special status to Indian music which helped the International audiences to understand and listen to Indian musical system. He is the pioneer of Integrating the Indian classical music with the Electronic and world music orchestral arranging. His mix of Hindustani classical with electronica has its own flavors. The First person to bring out Rap, Pop, Blues, Electronica, and much more in India. His works of Sufi qawwali are one of the important explorations and very popular among the fans. The Mozart of Madras is the only person can do a Traditional music of different states and still make it to all type of audiences. His involvement with World filmmakers and musicians are also special to his name. Congratulations for his recent achievement of 25 golden years in cinema.",A.R. Rahman,Slumdog Millionaire,1967-01-06
3,nm1421776,2017-02-22,2017-03-14,"U1 is the Younger son of Isaignani Illayaraja. To describe YSR in one word ""Versatile"". The Most explored Music director of Tamil Cinema. From the Rural Folk to the Urban Hiphop he has his own stamp of Music to his name. His collaborations with the Directors and the movies are quite unimaginable. You must know why he is so special in Tamilnadu? It is because of his various tie-ups with new directors and actors. Almost half of his scores of movies are with no identity backgrounds. The promotions and success of those movies are heavily implied with his name. This Youth Icon is the first to introduce Hip hop, Remix, Single track release culture.",Yuvan Shankar Raja,Pudhu Pettai,1979-08-31
4,nm1069415,2017-02-22,2017-03-16,"Harris Jayraj is one of the Masters of sound clarity making. His songs and BGM scores are always crystal clear and finely tuned. Many of the Tamil audiences would like to check his songs first for their newly bought Headphones to understand the performance of it. His portrayal of songs and music is mostly Urbanized and heavily influenced by the world music. He always has the ability to make an album hit or at least a piece of every single album would make it a record hit among the audiences. Under his orchestra, singers mostly perform and sound differently than usually with the other directors. He always likes to use different world instruments, sounds, colloquial sounding words in his music. His important collaborations with GVM, Murugadoss, Jeeva, Hari, and Shankar are his best works which are very popular among the Tamizh audiences",Harris Jayaraj,Thuppakki,1975-01-08
5,nm0222148,2017-02-22,2017-03-14,"Thenisai Thendral Deva sir is the Father of Gaana genre. He is one of the important music directors to recognize high base voice singers in the movie Industry. The use of linguistic people's voice is also special to his name. Though Deva is known for Gaana music, but, he learned western music and has the ability to produce different genres under his name. His melodies and devotional songs are also chartbusters among the fans. Some of his best works are Annamalai, Batcha, Aasai, Nerukku ner, Kushi, etc. He is among the fastest to reach 400 movies in 20 years.",Deva,Aasai,
6,nm0004579,2017-02-22,2017-03-16,,Vidyasagar,Master,1963-03-02
7,nm1574854,2017-02-22,2017-02-22,,G.V. Prakash Kumar,Soorarai Pottru,1987-06-13
8,nm1300033,2017-02-22,2017-02-22,,D. Imman,Viswasam,
9,nm5365739,2017-02-22,2017-02-22,,Santhosh Narayanan,Irudhi Suttru,1983-05-15
10,nm4794064,2017-02-22,2017-02-22,,Anirudh Ravichander,Vikram Vedha,1990-10-16
11,nm4717384,2017-02-22,2017-02-22,,Ghibran,Ratsasan,1980-08-12
12,nm0707265,2017-02-22,2017-02-22,,S.A. Rajkumar,Aanandham,
13,nm1683637,2017-02-22,2017-02-22,,Sirpi,Mudakkaruthaan,
14,nm2537099,2017-02-22,2017-02-22,,Vijay Antony,Vettaikaaran,1975-07-24
15,nm0304269,2017-02-22,2017-02-22,,Shankar-Ganesh,Pattikatu Raja,
16,nm1196042,2017-02-22,2017-02-22,,Devi Sri Prasad,Rangasthalam,1979-08-02
17,nm3888981,2017-02-22,2017-02-22,,S. Thaman,Dookudu,1983-11-16
18,nm0788886,2017-02-22,2017-02-22,,Mani Sharma,Okkadu,1964-07-11
19,nm4512287,2017-03-16,2017-03-16,,Nivas Prasanna,Sethupathi,
20,nm4687352,2017-02-22,2017-02-22,,C. Sathya,Engeyum Eppodhum,
21,nm6353027,2017-03-16,2017-03-16,,Sean Roldan,Jai Bhim,
22,nm4893562,2017-02-22,2017-02-22,,K Krishna Kumar,The Ghazi Attack,1987-01-08
23,nm4241519,2017-02-22,2017-02-22,,James Vasanthan,Subramaniapuram,
24,nm3153128,2017-02-22,2017-02-22,,Dharan Kumar,Naaigal Jaakirathai,
25,nm5657066,2017-02-22,2017-02-22,,Hiphop Tamizha Adhi,Thani Oruvan,1990-02-20
