Year,Name,Debut film,Other notable films
1980,Mohan,Moodu Pani,"Payanangal Mudivathillai (1982), Mouna Ragam (1986), Mella Thirandhathu Kadhavu (1987)"
1973,Kamal Haasan,Arangetram,"Moondram Pirai (1983), Nayakan (1987), Indian (1996),Dasavathaaram(2008)"
1975,Rajinikanth,Apoorva Raagangal,"Mullum Malarum (1978), Baashha (1995), 2.0 (2018)"
1980,Raveendran,Oru Thalai Ragam,"Echchil Iravugal (1982), En Priyame (1983), Adutha Varisu (1983)"
1980,Shankar,Oru Thalai Ragam,"Sujatha (1980), Kanalukku Karaiyethu (1982), Kadhal Enum Nadhiyinile (1989)"
1980,Chandrasekhar,Oru Thalai Ragam,"Palaivana Solai (1981), Oomai Vizhigal (1986), Nanba Nanba (2002)"
1980,Nizhalgal Ravi,Nizhalgal,"Nayakan (1987), Ore Oru Gramathiley (1989), Adhisaya Manithan (1990)"
1980,S. Ve. Sekhar,Varumayin Niram Sivappu,"Kudumbam Oru Kadambam (1981), Manal Kayiru (1982), Poove Poochooda Vaa (1985)"
1981,Rajeev,Rail Payanangalil,"Palaivana Solai (1981), Nizhal Thedum Nenjangal (1982), Chain Jayapal (1985)"
1981,Visu,Kudumbam Oru Kadambam,"Chidambara Rahasiyam (1985), Samsaram Adhu Minsaaram (1986), Varavu Nalla Uravu (1990)"
1981,Thiagarajan,Alaigal Oivathillai,"Malaiyoor Mambattiyan (1983), Neengal Kettavai (1984), Salem Vishnu (1990)"
1981,Karthik,Alaigal Oivathillai,"Agni Natchathiram (1988), Ponnumani (1993), Unnidathil Ennai Koduthen (1998)"
1981,Suresh,Panneer Pushpangal,"Manjal Nila (1982), Apoorva Sahodarigal (1983), Hello Yaar Pesurathu (1985)"
1982,Prabhu,Sangili,"Chinna Thambi (1992), Duet (1994), Chandramukhi (2005)"
1982,Prem Menon,Krodham,"Vetri Karangal (1991), Andha Naal (1996), Krodham 2 (2000)"
1982,Raghuvaran,Ezhavathu Manithan,"Puriyaadha Pudhir (1990), Baashha (1994), Mudhalvan (1999)"
1983,Bhanu Chander,Silk Silk Silk,"Neengal Kettavai (1984), Veedu (1988), Thimiru (2006)"
1983,T. Rajendar,Thangaikkor Geetham,"Mythili Ennai Kaathali (1986), Oru Thayin Sabhatham (1987), En Thangai Kalyani (1988)"
