song_name,first_position,first_credit,second_position,second_credit,third_position,third_credit,fourth_position,fourth_credit
Viruman - Thaenu's Kuthu Dance,"Karthi, Aditi Shankar",male and female actor,Yuvan Shankar Raja,music director,Muthaiya,movie director,Lokesh Kanagaraj,movie director
Pathala Pathala Video,VIKRAM,,Kamal Haasan,male actor,Anirudh Ravichander,music director,Anirudh Ravichander,music director
Master - Vaathi Coming Video,Vijay,male actor,Anirudh Ravichander,music director,Lokesh Kanagaraj,movie director,Santhosh Dhayanidhi,music director
Don - Jalabulajangu Video,Sivakarthikeyan,male actor,Anirudh Ravichander,music director,Lokesh Kanagaraj,movie director,Vignesh Shivan,music director
VIKRAM – Pathala Pathala Lyric,Kamal Haasan,male actor,Vijay Sethupathi,male actor,Venki,movie director,Anirudh Ravichander,music director
Kutty Pattas Music Video,Ashwin,male actor,Reba John,female actor,Anirudh Ravichander,music director,AGS,
Valimai - Naanga Vera Maari Video,Ajith Kumar Kumar,male actor,Yuvan Shankar Raja,music director,Tanya Hope,female actor,Lokesh Kanagaraj,movie director
Two Two Two - Video Song,Kaathuvaakula Rendu Kaadhal,,Vijay Sethupathi,male actor,Sudha Kongara,movie director_female,Jonita Gandhi,female playback singer
Don - Private Party Video,"Sivakarthikeyan, Priyanka Mohan",male and female actor,Anirudh Ravichander,music director,Atlee,movie director,Jonita Gandhi,female playback singer
Petta - Marana Mass Official Video (Tamil),Rajinikanth,male actor,Anirudh Ravichander,music director,Karthik Subbaraj,movie director,Ivana,female actor
Dharala Prabhu - Title Track Video,Harish Kalyan,male actor,Anirudh Ravichander,music director,Atlee,movie director,Mari Selvaraj,movie director
Soorarai Pottru - Mannurunda Song Video,Suriya,male actor,G.V. Prakash Kumar,music director,A.R Murugadoss,movie director,Vijay Sethupathi,male actor
Bigil - Bigil Bigil Bigiluma Video,"Vijay, Nayanthara",male and female actor,A.R. Rahman,music director,Anirudh Ravichander,music director,Mari Selvaraj,movie director
Jagame Thandhiram - Bujji Video,Dhanush,male actor,Santhosh Narayanan,music director,Super Hit Dance Song,,Mari Selvaraj,movie director
Maari - Maari Thara Local Video,Dhanush,male actor,Anirudh Ravichander,music director,Gautham Menon,movie director,Sayyesha Saigal,female actor
Thaanaa Serndha Koottam - Sodakku Tamil Video,Suriya,male actor,Anirudh Ravichander,music director,Super Hit Tamil Song,,Vijay Sethupathi,male actor
Bigil - Verithanam Lyric Video (Tamil),Vijay,male actor,A.R Rahman,music director,Anirudh Ravichander,music director,7 Screen Studio,
Comali - Paisa Note Video,"Jayam Ravi, Kajal Aggarwal",male and female actor,Hiphop Tamizha,music director,Anirudh Ravichander,music director,Sid Sriram,male playback singer
Kaappaan - Siriki Video,"Suriya, Sayyeshaa",male and female actor,"Harris Jayaraj, K V Anand","music director, director",Lokesh Kanagaraj,movie director,Lokesh Kanagaraj,movie director
Sangathamizhan - Kamala Lyric,Vijay Sethupathi l Vijay Chandar l Raashi Khanna,male and female actor,Vivek-Mervin,music director,Nelson Dilipkumar,movie director,Pritam,male playback singer
Sarkar - Simtaangaran Video,Vijay,male actor,A .R. Rahman,music director,Vignesh Shivan,music director,7 Screen Studio,
7UP Madras Gig - Season 2 - Rasaathi Nenja Video,Yuvan Shankar Raja,music director,D. Imman,music director,Super Hit Song,,Sid Sriram,male playback singer
Pon Manickavel - Jittaan Jittaan Jinukku Lyric,Prabhu Deva,male actor,Pawan Kumar,,Latest Hit Song,,Hanu Raghavapudi,movie director
U Turn - The Karma Theme (Tamil) - Samantha,Anirudh Ravichander,music director,Anirudh Ravichander,music director,Latest Hit Song,,Anirudh Ravichander,music director
Vedalam - Aaluma Doluma Video,Ajith Kumar,male actor,A.R. Rahman,music director,Maalavika,female playback singer,Anirudh Ravichander,music director
Sarkar  - OMG Ponnu Song Video (Tamil),Vijay,male actor,A.R. Rahman,music director,Karthik Yogi,movie director,Santhosh Narayanan,music director
Mersal - Mersal Arasan Tamil Video,Vijay,male actor,Rajinikanth,male actor,Super Hit Song,,Cibi Chakaravarthi,movie director
Ullaallaa Official Video (Tamil),Petta Video Songs,,Harris Jayaraj,music director,Lokesh Kanagaraj,movie director,7 Screen Studio,
